NodeId:0	0.740054492268,0.740095968349,1,15,66,96
NodeId:1	1.22733159682,1.22740737879,37,72
NodeId:10	0.890713275324,0.890765816828,4,6,38,67,78,80
NodeId:11	0.648717084387,0.648753927461,6,28,40,49,51,67,89
NodeId:12	0.996768237621,0.996823297929,24,28,50,55,67,85,98
NodeId:13	0.906823915893,0.906875238189,25,32,33,35,76
NodeId:14	0.330020645386,0.330031621907,36,39,44,62,98
NodeId:15	1.21079778707,1.21087278005,47,70,79,95,97
NodeId:16	0.624213642449,0.624247920718,45,52,67,80
NodeId:17	0.552181119107,0.552208276436,18,39,41,53,63,72,79,99
NodeId:18	1.04066069279,1.04071985142,52,61,62,87
NodeId:19	0.882651360857,0.882703068074,27,33,37,45,92
NodeId:2	1.01466285136,1.01472259151,31,63
NodeId:20	1.1494776716,1.1495474394,7,94
NodeId:21	9.09613466227,9.09082698132
NodeId:22	1.04557126153,1.04563434428,25,65,72,83,97
NodeId:23	0.569988090563,0.57001760149,92,99
NodeId:24	1.01861561517,1.01867235655,9,10,18,38,55,93,94
NodeId:25	0.813274253715,0.813319888966,63
NodeId:26	0.834359543254,0.834407428187,15,23,28,64
NodeId:27	1.33162798199,1.33170967255,32,68,70,92
NodeId:28	0.877411695516,0.877461825024,21,25,72
NodeId:29	0.863828451696,0.863880472787,18,23,31,36,86
NodeId:3	0.742865775235,0.74290926879,30,42,45,86
NodeId:30	0.868909601295,0.868958269814,80,84,95
NodeId:31	2.13643803047,2.13657848194,29,36,46,49,54,62,70,85
NodeId:32	0.977273387006,0.977330002002,2,3,6,27,47,69,71,91
NodeId:33	0.995510007722,0.995570672713,2,56,58,86
NodeId:34	0.967388980719,0.967448805211,0,7,77,78
NodeId:35	0.496978341333,0.496999448714,12,18,62,64,65,66,83,91
NodeId:36	0.769360989034,0.769403161208,12,20,30,34,61,75,77,99
NodeId:37	1.31437921365,1.3144617594,40,59,71,97
NodeId:38	1.16168080394,1.1617496097,30,41,98
NodeId:39	1.15225898131,1.15232941548,31,43,68,71,92
NodeId:4	0.741545610437,0.74158846565,24,42,46,86
NodeId:40	0.727897368285,0.727938178235,7,71,72,73
NodeId:41	0.946439524523,0.946492757204,44,45,49,66
NodeId:42	0.572530958531,0.572560007222,36,45,70,89,99
NodeId:43	0.918824672226,0.918881002416,4,21,24,56,67,68,80,86,90
NodeId:44	0.627942286709,0.627974433308,17,37,38
NodeId:45	1.44087060498,1.44096074506,18,53,58,83,86,90
NodeId:46	0.817595072711,0.817643001236,78
NodeId:47	0.511292533512,0.51131760068,5,14,52,70,73
NodeId:48	0.15,0.15,18,39,61,79,89
NodeId:49	1.14256118753,1.14263337699,2,29,31,39,84
NodeId:5	0.480699689785,0.480720316931,2,9,24,50,61,81,98
NodeId:50	0.827815340401,0.827862918076,0,20,46,68
NodeId:51	0.924980932137,0.925036467474,38,45,61,71
NodeId:52	0.842402875913,0.842449694339,27,31,64,91
NodeId:53	0.601721719892,0.601753090455,2,13,65,78,95
NodeId:54	0.681572523433,0.681607669191,12,69,77
NodeId:55	0.681297024715,0.681334219492,10,19,22,25,51,58,62
NodeId:56	0.541438627005,0.541466282369,29,36,80,96,98
NodeId:57	0.816963655998,0.81701164384,86,94,96,98
NodeId:58	0.865736412524,0.865786031892,16,38,71,73,78
NodeId:59	0.502599175487,0.502623301558,10,24,69,92
NodeId:6	0.691756307875,0.691793138976,15,22,58,80
NodeId:60	0.547598435719,0.547627372182,14,49,53,56,65
NodeId:61	0.733345484985,0.733382977189,6,9,18,20,99
NodeId:62	1.01712628854,1.01718701676,11,22,33,91
NodeId:63	1.72412871622,1.72423733498,3,64,65,72
NodeId:64	1.00978498543,1.00984494338,3,27,28,31,33,39,78
NodeId:65	0.98856363725,0.988621552219,27,88
NodeId:66	1.0108590823,1.01091682597,8,19,72,81,83,98
NodeId:67	0.695447804641,0.695485116659,2,26,30,31,32,45
NodeId:68	0.891588381923,0.891641901868,1,6,19,28,40,81,85
NodeId:69	0.881746708139,0.881795682044,12,22,42,46,55,72,88
NodeId:7	0.998827395728,0.998888415494,12,21,38,57,93
NodeId:70	1.20442288601,1.20449905288,20,63,99
NodeId:71	1.51006601818,1.51016447633,15,16,45,84,97
NodeId:72	1.92806799118,1.92819460844,10,49,51,92,93,95
NodeId:73	0.538794480412,0.538820029386,41,50,51,84,92
NodeId:74	0.432360220092,0.432379393375,35,54,84
NodeId:75	0.434845704018,0.434865834967,29,34,37,51,54,65,85,91
NodeId:76	0.893787018973,0.893842698416,9
NodeId:77	0.630454129923,0.630486592725,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:78	1.63204330598,1.63214612868,13,19,34,82
NodeId:79	0.984216959863,0.984274280582,0,26,43,74,90
NodeId:8	0.344816065204,0.344828478187,13,41,59,87
NodeId:80	1.18339329189,1.1834643165,31,79
NodeId:81	0.587028175113,0.58705680096,5,21,26,78,93,96
NodeId:82	0.676314129053,0.67635410612,2,23,24,32,52,53
NodeId:83	1.27075592561,1.27083394887,1,4,10,18,27,29,70
NodeId:84	1.06128737796,1.06135023795,9,21
NodeId:85	0.693753713446,0.693792414671,32,54,57,64,69,90,99
NodeId:86	1.32963262591,1.32971690977,11,60,71,95
NodeId:87	0.485653143412,0.485673865327,8,19,20,27,30,47,54,63
NodeId:88	1.26685757814,1.266939365,21,26,44,50,55,82
NodeId:89	0.578929312169,0.578958108659,16,32,35,38,40,57,58
NodeId:9	1.66758436126,1.66769174152,33,39,41,43,51,69,80
NodeId:90	0.916747190484,0.916802355989,1,26,52,93,96
NodeId:91	0.748024800212,0.748064555229,12,24,66,81,95
NodeId:92	1.61215426185,1.61225575309,22,34,39,57
NodeId:93	0.95569064316,0.955748791245,15,43,66,75
NodeId:94	1.05525375923,1.05531778668,4,17,20,90
NodeId:95	1.38724796168,1.38733700819,76,88
NodeId:96	0.811957416247,0.81200182866,12,13,24,31,60,74
NodeId:97	1.06965729598,1.06972634504,37,50,62,89
NodeId:98	1.12356123485,1.12362535682,5,13,15,28,49,66,92,94
NodeId:99	1.18020995666,1.18027870523,1,83
